id,type,possession_team_id,desc_home,desc_away,direction,quarter,game_clock,shot_clock,event_type,game_id,event_moment.quarter,event_moment.game_clock,event_moment.shot_clock,event_moment.ball_coordinates.x,event_moment.ball_coordinates.y,event_moment.ball_coordinates.z,event_moment.ball_coordinates.speed,event_moment.ball_coordinates.dir_x,event_moment.ball_coordinates.dir_y,event_moment.player_coordinates,event_team,made_shot_after
6,5,1610612748.0,Mahinmi STEAL (1 STL),Whiteside Lost Ball Turnover (P1.T1),right,1,651.2,2.79,turnover,0021500333,1.0,651.2,2.79,37.9591,88.42078,3.95159,2.726572321615286,0.22564961696507593,0.9742085250928133,"[{'teamid': 1610612754, 'playerid': 201588, 'x': 10.583150000000003, 'y': 75.99924, 'z': 0.0, 'speed': np.float64(1.3531374883950147), 'dir_x': np.float64(-0.8293687889255105), 'dir_y': np.float64(-0.5587015410362064)}, {'teamid': 1610612754, 'playerid': 101133, 'x': 30.91777, 'y': 87.75532, 'z': 0.0, 'speed': np.float64(3.034148243329644), 'dir_x': np.float64(0.8453772836047246), 'dir_y': np.float64(-0.5341696812484746)}, {'teamid': 1610612754, 'playerid': 101145, 'x': 16.303939999999997, 'y': 85.73643, 'z': 0.0, 'speed': np.float64(2.194296498880809), 'dir_x': np.float64(-0.9897249533542106), 'dir_y': np.float64(0.14298432329456812)}, {'teamid': 1610612754, 'playerid': 202730, 'x': 19.68702, 'y': 73.61784, 'z': 0.0, 'speed': np.float64(4.101164232568706), 'dir_x': np.float64(0.6449388149333863), 'dir_y': np.float64(-0.764234208206044)}, {'teamid': 1610612754, 'playerid': 202331, 'x': 36.66894, 'y': 87.31126, 'z': 0.0, 'speed': np.float64(8.66979269143741), 'dir_x': np.float64(0.7610043555616084), 'dir_y': np.float64(0.6487467694071863)}, {'teamid': 1610612748, 'playerid': 2548, 'x': 10.406579999999998, 'y': 87.21133, 'z': 0.0, 'speed': np.float64(4.0200965862153195), 'dir_x': np.float64(-0.632136553314113), 'dir_y': np.float64(0.7748570048493809)}, {'teamid': 1610612748, 'playerid': 2547, 'x': 17.4125, 'y': 57.29727, 'z': 0.0, 'speed': np.float64(6.59428819604521), 'dir_x': np.float64(0.6625051666107261), 'dir_y': np.float64(-0.7490573437421822)}, {'teamid': 1610612748, 'playerid': 2736, 'x': 42.02584, 'y': 66.97814, 'z': 0.0, 'speed': np.float64(1.628280573181454), 'dir_x': np.float64(0.7171675565215865), 'dir_y': np.float64(-0.6969007790732172)}, {'teamid': 1610612748, 'playerid': 201609, 'x': 7.3543400000000005, 'y': 67.07738, 'z': 0.0, 'speed': np.float64(4.305218533942175), 'dir_x': np.float64(0.4485835004132972), 'dir_y': np.float64(-0.8937409261955914)}, {'teamid': 1610612748, 'playerid': 202355, 'x': 34.126310000000004, 'y': 85.0228, 'z': 0.0, 'speed': np.float64(6.573300849839414), 'dir_x': np.float64(0.9194771604204968), 'dir_y': np.float64(-0.39314342353021736)}]",1610612748.0,False
15,5,1610612748.0,Mahinmi STEAL (2 STL),Dragic Bad Pass Turnover (P1.T2),right,1,607.99,7.29,turnover,0021500333,1.0,607.99,7.29,14.620350000000002,92.35423,1.15644,2.0024471278912284,-0.775800758163324,0.6309779581199425,"[{'teamid': 1610612754, 'playerid': 201588, 'x': 5.397500000000001, 'y': 68.75939, 'z': 0.0, 'speed': np.float64(3.1257296148258726), 'dir_x': np.float64(-0.025034155106959805), 'dir_y': np.float64(-0.999686596428141)}, {'teamid': 1610612754, 'playerid': 101133, 'x': 15.910249999999998, 'y': 84.63503, 'z': 0.0, 'speed': np.float64(8.392329924550348), 'dir_x': np.float64(-0.5261053890510217), 'dir_y': np.float64(0.8504193786664749)}, {'teamid': 1610612754, 'playerid': 101145, 'x': 14.855620000000002, 'y': 89.93135, 'z': 0.0, 'speed': np.float64(10.997895281598048), 'dir_x': np.float64(-0.9509319494520865), 'dir_y': np.float64(0.30940010910026255)}, {'teamid': 1610612754, 'playerid': 202730, 'x': 11.867710000000002, 'y': 76.9648, 'z': 0.0, 'speed': np.float64(3.6196147326061703), 'dir_x': np.float64(0.7126449057584567), 'dir_y': np.float64(0.7015249377581101)}, {'teamid': 1610612754, 'playerid': 202331, 'x': 34.0423, 'y': 86.97918, 'z': 0.0, 'speed': np.float64(0.740793704414462), 'dir_x': np.float64(-0.8447021029891582), 'dir_y': np.float64(-0.5352367300603478)}, {'teamid': 1610612748, 'playerid': 2548, 'x': 35.47166, 'y': 61.43013, 'z': 0.0, 'speed': np.float64(0.21544619397890072), 'dir_x': np.float64(0.44442650961563857), 'dir_y': np.float64(0.8958153144208134)}, {'teamid': 1610612748, 'playerid': 2547, 'x': 14.207630000000002, 'y': 77.52741, 'z': 0.0, 'speed': np.float64(1.8208833021368491), 'dir_x': np.float64(-0.1647552040528651), 'dir_y': np.float64(0.9863344882632356)}, {'teamid': 1610612748, 'playerid': 2736, 'x': 48.7791, 'y': 87.35849, 'z': 0.0, 'speed': np.float64(0.25810705143386814), 'dir_x': np.float64(-0.16659754067582397), 'dir_y': np.float64(-0.9860249791160299)}, {'teamid': 1610612748, 'playerid': 201609, 'x': 3.7089300000000023, 'y': 67.1618, 'z': 0.0, 'speed': np.float64(1.6335893188006578), 'dir_x': np.float64(-0.3600966247942307), 'dir_y': np.float64(-0.9329150126414533)}, {'teamid': 1610612748, 'playerid': 202355, 'x': 36.435900000000004, 'y': 88.68922, 'z': 0.0, 'speed': np.float64(2.2812530821895773), 'dir_x': np.float64(-0.9999986489049715), 'dir_y': np.float64(-0.0016438333953591486)}]",1610612748.0,False
35,5,1610612754.0,G. Hill Bad Pass Turnover (P1.T2),Bosh STEAL (1 STL),left,1,477.92,19.82,turnover,0021500333,1.0,477.92,19.82,25.08611,5.735969999999995,10.18038,0.25544128483883244,0.7731718078566775,-0.6341966221414594,"[{'teamid': 1610612754, 'playerid': 201588, 'x': 23.79279, 'y': 0.07747000000000526, 'z': 0.0, 'speed': np.float64(12.323100170513012), 'dir_x': np.float64(-0.7999001763847288), 'dir_y': np.float64(-0.6001330750922497)}, {'teamid': 1610612754, 'playerid': 101133, 'x': 30.00296, 'y': 17.552629999999994, 'z': 0.0, 'speed': np.float64(3.4328277338078124), 'dir_x': np.float64(-0.940915260089997), 'dir_y': np.float64(-0.33864210212224544)}, {'teamid': 1610612754, 'playerid': 101145, 'x': 5.291870000000003, 'y': 24.354240000000004, 'z': 0.0, 'speed': np.float64(0.4838688484497442), 'dir_x': np.float64(0.715069798579899), 'dir_y': np.float64(0.6990530617620545)}, {'teamid': 1610612754, 'playerid': 202730, 'x': 22.44652, 'y': 52.61708, 'z': 0.0, 'speed': np.float64(9.319874010012063), 'dir_x': np.float64(-0.07588621898110108), 'dir_y': np.float64(-0.9971164835508198)}, {'teamid': 1610612754, 'playerid': 202331, 'x': 13.537199999999999, 'y': 39.95818, 'z': 0.0, 'speed': np.float64(5.442747674658506), 'dir_x': np.float64(0.40099231683322756), 'dir_y': np.float64(-0.9160814166004682)}, {'teamid': 1610612748, 'playerid': 2548, 'x': 14.945900000000002, 'y': 11.517970000000005, 'z': 0.0, 'speed': np.float64(5.39873390828813), 'dir_x': np.float64(0.24459438498587086), 'dir_y': np.float64(-0.9696254879247882)}, {'teamid': 1610612748, 'playerid': 2405, 'x': 25.5807, 'y': 3.336650000000006, 'z': 0.0, 'speed': np.float64(4.636083382015317), 'dir_x': np.float64(-0.6991353979036873), 'dir_y': np.float64(-0.7149892974010539)}, {'teamid': 1610612748, 'playerid': 2547, 'x': 26.84931, 'y': 11.298010000000005, 'z': 0.0, 'speed': np.float64(7.430796264532925), 'dir_x': np.float64(-0.1268706564463011), 'dir_y': np.float64(-0.9919192691609962)}, {'teamid': 1610612748, 'playerid': 2736, 'x': 16.64389, 'y': 24.86005, 'z': 0.0, 'speed': np.float64(1.534055674511221), 'dir_x': np.float64(-0.6966826678832733), 'dir_y': np.float64(-0.7173794395374353)}, {'teamid': 1610612748, 'playerid': 201609, 'x': 28.10138, 'y': 4.36224, 'z': 0.0, 'speed': np.float64(3.3262000184144678), 'dir_x': np.float64(-0.9121520002414997), 'dir_y': np.float64(-0.4098520811895814)}]",1610612754.0,False
64,5,1610612748.0,Ellis STEAL (1 STL),Winslow Bad Pass Turnover (P1.T4),right,1,278.72,23.59,turnover,0021500333,1.0,278.72,23.59,24.62122,67.78458,6.52704,2.981322567250989,-0.5968827457811092,-0.802328478734741,"[{'teamid': 1610612754, 'playerid': 201588, 'x': 37.6347, 'y': 37.95403, 'z': 0.0, 'speed': np.float64(17.976668782063037), 'dir_x': np.float64(-0.23700164094090057), 'dir_y': np.float64(-0.9715092496684323)}, {'teamid': 1610612754, 'playerid': 101133, 'x': 24.31124, 'y': 79.04878, 'z': 0.0, 'speed': np.float64(1.879189319892998), 'dir_x': np.float64(-0.8309434198406692), 'dir_y': np.float64(-0.556356929518716)}, {'teamid': 1610612754, 'playerid': 101139, 'x': 9.51576, 'y': 68.51477, 'z': 0.0, 'speed': np.float64(8.392320913340948), 'dir_x': np.float64(0.004110900948162509), 'dir_y': np.float64(-0.9999915502109976)}, {'teamid': 1610612754, 'playerid': 101145, 'x': 24.14422, 'y': 66.25252, 'z': 0.0, 'speed': np.float64(11.662933293129871), 'dir_x': np.float64(0.8837399426841774), 'dir_y': np.float64(-0.4679783261055653)}, {'teamid': 1610612754, 'playerid': 202331, 'x': 34.3879, 'y': 68.14239, 'z': 0.0, 'speed': np.float64(13.999437310120438), 'dir_x': np.float64(0.34922832194588754), 'dir_y': np.float64(-0.9370376615434726)}, {'teamid': 1610612748, 'playerid': 2548, 'x': 37.16523, 'y': 46.98284, 'z': 0.0, 'speed': np.float64(17.573603685641654), 'dir_x': np.float64(-0.22388691985893325), 'dir_y': np.float64(-0.9746151276868626)}, {'teamid': 1610612748, 'playerid': 2405, 'x': 11.224339999999998, 'y': 73.54555, 'z': 0.0, 'speed': np.float64(12.301206325498992), 'dir_x': np.float64(-0.7711235588608174), 'dir_y': np.float64(-0.6366855243916164)}, {'teamid': 1610612748, 'playerid': 2547, 'x': 14.465110000000003, 'y': 60.897, 'z': 0.0, 'speed': np.float64(14.575998870146162), 'dir_x': np.float64(0.32279091415385575), 'dir_y': np.float64(-0.94647029839278)}, {'teamid': 1610612748, 'playerid': 2736, 'x': 37.44588, 'y': 72.58626, 'z': 0.0, 'speed': np.float64(15.392783262376822), 'dir_x': np.float64(0.31581358076300564), 'dir_y': np.float64(-0.9488212593558643)}, {'teamid': 1610612748, 'playerid': 1626159, 'x': 25.89761, 'y': 64.55659, 'z': 0.0, 'speed': np.float64(9.804061827247898), 'dir_x': np.float64(0.9996366988182356), 'dir_y': np.float64(0.026953114398525803)}]",1610612748.0,False
76,5,1610612748.0,Hill STEAL (1 STL),Wade Bad Pass Turnover (P2.T5),right,1,218.53,19.23,turnover,0021500333,1.0,218.53,19.23,2.1533599999999993,56.93929,4.52279,6.109460496844164,0.1253793195644087,0.9921088782112404,"[{'teamid': 1610612754, 'playerid': 201155, 'x': 25.50185, 'y': 60.4332, 'z': 0.0, 'speed': np.float64(2.029963330949668), 'dir_x': np.float64(0.9343764840878676), 'dir_y': np.float64(0.3562872239971495)}, {'teamid': 1610612754, 'playerid': 101139, 'x': 28.27364, 'y': 70.38879, 'z': 0.0, 'speed': np.float64(2.1048099973631667), 'dir_x': np.float64(-0.9966457792522727), 'dir_y': np.float64(0.08183636538013007)}, {'teamid': 1610612754, 'playerid': 101145, 'x': 39.86504, 'y': 78.82372, 'z': 0.0, 'speed': np.float64(1.7474429890556638), 'dir_x': np.float64(-0.17969112695899916), 'dir_y': np.float64(0.983723080390109)}, {'teamid': 1610612754, 'playerid': 201941, 'x': 21.78314, 'y': 86.02777, 'z': 0.0, 'speed': np.float64(3.191816821968378), 'dir_x': np.float64(-0.1435702690849817), 'dir_y': np.float64(-0.9896401254167426)}, {'teamid': 1610612754, 'playerid': 202331, 'x': 8.511229999999998, 'y': 67.64651, 'z': 0.0, 'speed': np.float64(1.0642401632148348), 'dir_x': np.float64(-0.6185164051802085), 'dir_y': np.float64(-0.785771885805895)}, {'teamid': 1610612748, 'playerid': 2548, 'x': 48.17969, 'y': 75.09391, 'z': 0.0, 'speed': np.float64(2.5344937980786693), 'dir_x': np.float64(0.5952865227540641), 'dir_y': np.float64(0.8035135069352445)}, {'teamid': 1610612748, 'playerid': 2405, 'x': 23.83331, 'y': 86.51402, 'z': 0.0, 'speed': np.float64(3.966546616705746), 'dir_x': np.float64(0.8632824295013356), 'dir_y': np.float64(0.5047211575853258)}, {'teamid': 1610612748, 'playerid': 2736, 'x': 32.6316, 'y': 31.16891, 'z': 0.0, 'speed': np.float64(4.645363279658514), 'dir_x': np.float64(0.28114055271387645), 'dir_y': np.float64(0.959666603367928)}, {'teamid': 1610612748, 'playerid': 101123, 'x': 3.202150000000003, 'y': 56.39987, 'z': 0.0, 'speed': np.float64(4.149382137740505), 'dir_x': np.float64(0.29962292185435874), 'dir_y': np.float64(0.9540577051203228)}, {'teamid': 1610612748, 'playerid': 1626159, 'x': 25.34136, 'y': 45.35082, 'z': 0.0, 'speed': np.float64(5.414054407281083), 'dir_x': np.float64(0.48397186339246495), 'dir_y': np.float64(0.8750835591213134)}]",1610612748.0,False
148,5,1610612748.0,Budinger STEAL (1 STL),Richardson Bad Pass Turnover (P1.T7),right,2,552.46,10.95,turnover,0021500333,2.0,552.46,10.95,18.45026,72.99254,3.67876,10.403977088114079,0.48567965473249347,0.8741368731376832,"[{'teamid': 1610612754, 'playerid': 201588, 'x': 17.85693, 'y': 82.57892, 'z': 0.0, 'speed': np.float64(12.000457816787527), 'dir_x': np.float64(0.45427433546525936), 'dir_y': np.float64(0.8908618457076254)}, {'teamid': 1610612754, 'playerid': 201155, 'x': 38.107839999999996, 'y': 85.71124, 'z': 0.0, 'speed': np.float64(0.7009816331400657), 'dir_x': np.float64(-0.39159371233517004), 'dir_y': np.float64(-0.9201382311694042)}, {'teamid': 1610612754, 'playerid': 101139, 'x': 31.40851, 'y': 75.51678, 'z': 0.0, 'speed': np.float64(8.11856641054943), 'dir_x': np.float64(-0.11861700099523793), 'dir_y': np.float64(0.992940082318614)}, {'teamid': 1610612754, 'playerid': 201978, 'x': 9.850949999999997, 'y': 83.0983, 'z': 0.0, 'speed': np.float64(2.6809340956092034), 'dir_x': np.float64(-0.24049453548894723), 'dir_y': np.float64(0.9706504924018509)}, {'teamid': 1610612754, 'playerid': 201941, 'x': 20.05189, 'y': 79.00356, 'z': 0.0, 'speed': np.float64(2.4374382043448395), 'dir_x': np.float64(0.8898687138544503), 'dir_y': np.float64(0.4562166942397292)}, {'teamid': 1610612748, 'playerid': 2547, 'x': 18.662, 'y': 71.52833, 'z': 0.0, 'speed': np.float64(0.4958972297765124), 'dir_x': np.float64(0.9881079598303917), 'dir_y': np.float64(0.15376169783083518)}, {'teamid': 1610612748, 'playerid': 101123, 'x': 1.8572500000000005, 'y': 83.60604, 'z': 0.0, 'speed': np.float64(1.0742290840413053), 'dir_x': np.float64(-0.5671509076145184), 'dir_y': np.float64(-0.8236138949726552)}, {'teamid': 1610612748, 'playerid': 201609, 'x': 19.76883, 'y': 84.42377, 'z': 0.0, 'speed': np.float64(14.111116083606031), 'dir_x': np.float64(0.6763285018318086), 'dir_y': np.float64(0.7366001341365214)}, {'teamid': 1610612748, 'playerid': 1626196, 'x': 48.15508, 'y': 88.86768, 'z': 0.0, 'speed': np.float64(0.15597475757326615), 'dir_x': np.float64(-0.6876112626732922), 'dir_y': np.float64(-0.7260790256196915)}, {'teamid': 1610612748, 'playerid': 1626159, 'x': 33.933800000000005, 'y': 72.78399, 'z': 0.0, 'speed': np.float64(5.657115309502006), 'dir_x': np.float64(-0.10089064280540859), 'dir_y': np.float64(0.994897521453497)}]",1610612748.0,True
204,5,1610612754.0,George Bad Pass Turnover (P3.T6),Deng STEAL (1 STL),left,2,210.85,10.55,turnover,0021500333,2.0,210.85,10.55,28.45468,14.709149999999994,6.10773,2.5652896644433136,-0.25718343200948096,0.9663626039431704,"[{'teamid': 1610612754, 'playerid': 201155, 'x': 38.72126, 'y': 6.026619999999994, 'z': 0.0, 'speed': np.float64(2.6884794261812135), 'dir_x': np.float64(-0.9099009559744874), 'dir_y': np.float64(0.4148255661319753)}, {'teamid': 1610612754, 'playerid': 101133, 'x': 18.49939, 'y': 10.189459999999997, 'z': 0.0, 'speed': np.float64(3.562588955029717), 'dir_x': np.float64(0.5024435944182573), 'dir_y': np.float64(-0.8646099897803992)}, {'teamid': 1610612754, 'playerid': 101145, 'x': 44.4932, 'y': 23.24143000000001, 'z': 0.0, 'speed': np.float64(5.470461777811749), 'dir_x': np.float64(-0.4872988987533373), 'dir_y': np.float64(0.8732352393678262)}, {'teamid': 1610612754, 'playerid': 201978, 'x': 43.56576, 'y': 13.779179999999997, 'z': 0.0, 'speed': np.float64(7.880071018081034), 'dir_x': np.float64(-0.8320990997358895), 'dir_y': np.float64(0.5546269811492425)}, {'teamid': 1610612754, 'playerid': 202331, 'x': 27.18325, 'y': 22.752650000000003, 'z': 0.0, 'speed': np.float64(2.3739428831587372), 'dir_x': np.float64(0.9910727072209405), 'dir_y': np.float64(-0.13332249998314571)}, {'teamid': 1610612748, 'playerid': 2548, 'x': 32.69022, 'y': 8.499049999999997, 'z': 0.0, 'speed': np.float64(2.5841383597827288), 'dir_x': np.float64(-0.37933340383621056), 'dir_y': np.float64(0.9252600546516824)}, {'teamid': 1610612748, 'playerid': 2547, 'x': 25.55322, 'y': 18.90535, 'z': 0.0, 'speed': np.float64(3.641702220459521), 'dir_x': np.float64(0.9858713817482155), 'dir_y': np.float64(-0.16750408547215806)}, {'teamid': 1610612748, 'playerid': 2736, 'x': 25.49374, 'y': 20.673469999999995, 'z': 0.0, 'speed': np.float64(3.83888910526212), 'dir_x': np.float64(0.9985310580463551), 'dir_y': np.float64(-0.05418234137453537)}, {'teamid': 1610612748, 'playerid': 2757, 'x': 29.08702, 'y': 15.88834, 'z': 0.0, 'speed': np.float64(4.693991931181999), 'dir_x': np.float64(-0.2845126322285291), 'dir_y': np.float64(-0.9586722912979146)}, {'teamid': 1610612748, 'playerid': 1626159, 'x': 22.06132, 'y': 10.644120000000001, 'z': 0.0, 'speed': np.float64(11.286865477735704), 'dir_x': np.float64(-0.5906422835596186), 'dir_y': np.float64(0.8069335120513209)}]",1610612754.0,True
205,5,1610612748.0,Ellis STEAL (2 STL),Udrih Bad Pass Turnover (P1.T9),right,2,206.61,20.5,turnover,0021500333,2.0,206.61,20.5,0.6711400000000012,88.47946,2.89228,0.600390549975549,0.5209109304147268,0.8536110370505197,"[{'teamid': 1610612754, 'playerid': 201155, 'x': 31.28652, 'y': 36.20697, 'z': 0.0, 'speed': np.float64(4.837747441992029), 'dir_x': np.float64(-0.7747924100925413), 'dir_y': np.float64(0.6322157236758599)}, {'teamid': 1610612754, 'playerid': 101133, 'x': 24.35196, 'y': 61.77424, 'z': 0.0, 'speed': np.float64(7.602301152447256), 'dir_x': np.float64(-0.1110847864436613), 'dir_y': np.float64(0.9938109328341916)}, {'teamid': 1610612754, 'playerid': 101145, 'x': 2.1475300000000033, 'y': 88.56409, 'z': 0.0, 'speed': np.float64(6.193871492249315), 'dir_x': np.float64(-0.7494101235081013), 'dir_y': np.float64(0.6621060842369388)}, {'teamid': 1610612754, 'playerid': 201978, 'x': 37.137299999999996, 'y': 60.50528, 'z': 0.0, 'speed': np.float64(4.16492128527051), 'dir_x': np.float64(0.9992385725795574), 'dir_y': np.float64(0.03901634361608615)}, {'teamid': 1610612754, 'playerid': 202331, 'x': 15.572879999999998, 'y': 77.72619, 'z': 0.0, 'speed': np.float64(10.99793526076604), 'dir_x': np.float64(-0.9414494406906406), 'dir_y': np.float64(0.3371541941356802)}, {'teamid': 1610612748, 'playerid': 2548, 'x': 31.6, 'y': 12.45386, 'z': 0.0, 'speed': np.float64(0.031229993595926406), 'dir_x': np.float64(0.3041947469766625), 'dir_y': np.float64(0.952609865533527)}, {'teamid': 1610612748, 'playerid': 2547, 'x': 29.6075, 'y': 20.9223, 'z': 0.0, 'speed': np.float64(1.0382236331831578), 'dir_x': np.float64(-0.1620556444897019), 'dir_y': np.float64(0.9867816212764744)}, {'teamid': 1610612748, 'playerid': 2736, 'x': 35.29549, 'y': 26.76592, 'z': 0.0, 'speed': np.float64(1.3927572697710422), 'dir_x': np.float64(0.0032310009056689673), 'dir_y': np.float64(0.9999947803029511)}, {'teamid': 1610612748, 'playerid': 2757, 'x': 18.03179, 'y': 48.94879, 'z': 0.0, 'speed': np.float64(10.114777926380757), 'dir_x': np.float64(-0.5061406228848204), 'dir_y': np.float64(0.8624509666443456)}, {'teamid': 1610612748, 'playerid': 1626159, 'x': 16.170009999999998, 'y': 82.45815, 'z': 0.0, 'speed': np.float64(2.5986385858754812), 'dir_x': np.float64(0.11794637456161802), 'dir_y': np.float64(0.9930199659260485)}]",1610612748.0,False
217,5,1610612748.0,Ellis STEAL (3 STL),Bosh Lost Ball Turnover (P2.T10),right,2,135.0,24.0,turnover,0021500333,2.0,135.0,24.0,27.06176,1.24939,3.74788,7.499247866452989,0.9204589744097708,-0.39083919510268317,"[{'teamid': 1610612754, 'playerid': 201588, 'x': 21.26374, 'y': 28.74921, 'z': 0.0, 'speed': np.float64(1.4543014861093941), 'dir_x': np.float64(0.9373916020996547), 'dir_y': np.float64(0.3482771659369055)}, {'teamid': 1610612754, 'playerid': 101133, 'x': 19.93382, 'y': 22.1075, 'z': 0.0, 'speed': np.float64(11.490997367504765), 'dir_x': np.float64(0.016143072186629068), 'dir_y': np.float64(0.9998696921201169)}, {'teamid': 1610612754, 'playerid': 101139, 'x': 27.64316, 'y': 22.35024, 'z': 0.0, 'speed': np.float64(7.249792535824706), 'dir_x': np.float64(-0.21593721368771424), 'dir_y': np.float64(0.9764072509689726)}, {'teamid': 1610612754, 'playerid': 101145, 'x': 27.51095, 'y': 47.19441, 'z': 0.0, 'speed': np.float64(7.974005651176806), 'dir_x': np.float64(-0.5133241910100546), 'dir_y': np.float64(0.8581947767982937)}, {'teamid': 1610612754, 'playerid': 202331, 'x': 24.44491, 'y': 33.42881, 'z': 0.0, 'speed': np.float64(8.287315759641396), 'dir_x': np.float64(-0.17562984713194357), 'dir_y': np.float64(0.9844562747001058)}, {'teamid': 1610612748, 'playerid': 2548, 'x': 26.10841, 'y': 35.26501, 'z': 0.0, 'speed': np.float64(10.905537973891892), 'dir_x': np.float64(-0.3986506681658445), 'dir_y': np.float64(0.9171028539760007)}, {'teamid': 1610612748, 'playerid': 2547, 'x': 23.2852, 'y': 13.89089, 'z': 0.0, 'speed': np.float64(8.233705670140285), 'dir_x': np.float64(0.5249458959499497), 'dir_y': np.float64(0.8511355980837041)}, {'teamid': 1610612748, 'playerid': 2736, 'x': 22.37184, 'y': 17.13666, 'z': 0.0, 'speed': np.float64(10.97880878385721), 'dir_x': np.float64(-0.6594294647562351), 'dir_y': np.float64(0.7517664404662563)}, {'teamid': 1610612748, 'playerid': 2757, 'x': 17.32759, 'y': 13.61357, 'z': 0.0, 'speed': np.float64(6.553000386273506), 'dir_x': np.float64(0.28032960349705327), 'dir_y': np.float64(-0.9599038042445633)}, {'teamid': 1610612748, 'playerid': 1626159, 'x': 26.69025, 'y': 1.81326, 'z': 0.0, 'speed': np.float64(5.7635700091175925), 'dir_x': np.float64(0.4841617253864485), 'dir_y': np.float64(-0.8749785275484291)}]",1610612748.0,False
299,5,1610612748.0,George STEAL (1 STL),Dragic Lost Ball Turnover (P4.T13),left,3,480.45,14.72,turnover,0021500333,3.0,480.45,14.72,12.99982,26.613439999999997,4.60741,2.46902784512449,0.5340158486278718,-0.8454744664472452,"[{'teamid': 1610612754, 'playerid': 201588, 'x': 22.12789, 'y': 28.74179000000001, 'z': 0.0, 'speed': np.float64(4.355494640393769), 'dir_x': np.float64(-0.9315245075432264), 'dir_y': np.float64(-0.36367855565918306)}, {'teamid': 1610612754, 'playerid': 101133, 'x': 25.4979, 'y': 19.38812, 'z': 0.0, 'speed': np.float64(2.425521090920526), 'dir_x': np.float64(0.6798539110514138), 'dir_y': np.float64(-0.7333475708203419)}, {'teamid': 1610612754, 'playerid': 101145, 'x': 37.13976, 'y': 7.546090000000007, 'z': 0.0, 'speed': np.float64(2.9128155301185874), 'dir_x': np.float64(-0.9915663968883072), 'dir_y': np.float64(0.12959969352564127)}, {'teamid': 1610612754, 'playerid': 202730, 'x': 15.651110000000003, 'y': 22.51956, 'z': 0.0, 'speed': np.float64(2.5219747223159645), 'dir_x': np.float64(0.9902954133127237), 'dir_y': np.float64(0.13897839534179965)}, {'teamid': 1610612754, 'playerid': 202331, 'x': 10.26475, 'y': 8.52543, 'z': 0.0, 'speed': np.float64(0.8858606337906499), 'dir_x': np.float64(-0.9660097394081245), 'dir_y': np.float64(-0.2585056737649043)}, {'teamid': 1610612748, 'playerid': 2548, 'x': 2.1273199999999974, 'y': 5.062929999999994, 'z': 0.0, 'speed': np.float64(0.5830585841059585), 'dir_x': np.float64(0.13463484140318333), 'dir_y': np.float64(0.9908952817933586)}, {'teamid': 1610612748, 'playerid': 2547, 'x': 13.70487, 'y': 25.809820000000002, 'z': 0.0, 'speed': np.float64(1.6809655893265978), 'dir_x': np.float64(0.8950212958272236), 'dir_y': np.float64(0.4460234074751656)}, {'teamid': 1610612748, 'playerid': 2736, 'x': 48.367869999999996, 'y': 6.570689999999999, 'z': 0.0, 'speed': np.float64(0.2914708390216138), 'dir_x': np.float64(-0.471745305505253), 'dir_y': np.float64(0.8817348619249188)}, {'teamid': 1610612748, 'playerid': 201609, 'x': 22.03565, 'y': 34.82734, 'z': 0.0, 'speed': np.float64(3.7556039544259936), 'dir_x': np.float64(-0.4446022584549201), 'dir_y': np.float64(-0.8957281014776663)}, {'teamid': 1610612748, 'playerid': 202355, 'x': 29.75507, 'y': 22.237750000000005, 'z': 0.0, 'speed': np.float64(3.40178817866428), 'dir_x': np.float64(0.9993273600400426), 'dir_y': np.float64(0.0366718894440822)}]",1610612748.0,False
